country,state,year,quarter,district_name,transaction_count,total_amount
india,andaman-&-nicobar-islands,2018,Q1,north and middle andaman district,442,931663
india,andaman-&-nicobar-islands,2018,Q1,south andaman district,5688,12560249
india,andaman-&-nicobar-islands,2018,Q1,nicobars district,528,1139848
india,andaman-&-nicobar-islands,2018,Q2,north and middle andaman district,825,1317863
india,andaman-&-nicobar-islands,2018,Q2,south andaman district,9395,23948235
india,andaman-&-nicobar-islands,2018,Q2,nicobars district,1120,3072436
india,andaman-&-nicobar-islands,2018,Q3,north and middle andaman district,1283,4901529
india,andaman-&-nicobar-islands,2018,Q3,south andaman district,13511,44268112
india,andaman-&-nicobar-islands,2018,Q3,nicobars district,1471,6387829
india,andaman-&-nicobar-islands,2018,Q4,north and middle andaman district,2137,7955635
india,andaman-&-nicobar-islands,2018,Q4,south andaman district,20136,75411840
india,andaman-&-nicobar-islands,2018,Q4,nicobars district,1485,7180859
india,andaman-&-nicobar-islands,2019,Q1,north and middle andaman district,3264,9561708
india,andaman-&-nicobar-islands,2019,Q1,south andaman district,25683,85501972
india,andaman-&-nicobar-islands,2019,Q1,nicobars district,1539,7236059
india,andaman-&-nicobar-islands,2019,Q2,north and middle andaman district,3371,8612103
india,andaman-&-nicobar-islands,2019,Q2,south andaman district,28490,102530955
india,andaman-&-nicobar-islands,2019,Q2,nicobars district,1828,9111650
india,andaman-&-nicobar-islands,2019,Q3,north and middle andaman district,4049,11481466
india,andaman-&-nicobar-islands,2019,Q3,south andaman district,27421,91023888
india,andaman-&-nicobar-islands,2019,Q3,nicobars district,2300,11566421
india,andaman-&-nicobar-islands,2019,Q4,north and middle andaman district,4716,13524056
india,andaman-&-nicobar-islands,2019,Q4,south andaman district,27843,110930312
india,andaman-&-nicobar-islands,2019,Q4,nicobars district,2600,12384161
india,andaman-&-nicobar-islands,2020,Q1,north and middle andaman district,5674,14697371
india,andaman-&-nicobar-islands,2020,Q1,south andaman district,32713,134679396
india,andaman-&-nicobar-islands,2020,Q1,nicobars district,2911,12099543
india,andaman-&-nicobar-islands,2020,Q2,north and middle andaman district,10979,22447714
india,andaman-&-nicobar-islands,2020,Q2,south andaman district,48088,132855778
india,andaman-&-nicobar-islands,2020,Q2,nicobars district,3895,14341508
india,andaman-&-nicobar-islands,2020,Q3,north and middle andaman district,16747,33486883
india,andaman-&-nicobar-islands,2020,Q3,south andaman district,95323,282366109
india,andaman-&-nicobar-islands,2020,Q3,nicobars district,5413,22166453
india,andaman-&-nicobar-islands,2020,Q4,north and middle andaman district,29349,68941322
india,andaman-&-nicobar-islands,2020,Q4,south andaman district,186494,523122462
india,andaman-&-nicobar-islands,2020,Q4,nicobars district,8688,35218871
india,andaman-&-nicobar-islands,2021,Q1,north and middle andaman district,27358,75027255
india,andaman-&-nicobar-islands,2021,Q1,south andaman district,207092,669604045
india,andaman-&-nicobar-islands,2021,Q1,nicobars district,10302,39075266
india,andaman-&-nicobar-islands,2021,Q2,north and middle andaman district,39200,90233388
india,andaman-&-nicobar-islands,2021,Q2,south andaman district,286907,760893020
india,andaman-&-nicobar-islands,2021,Q2,nicobars district,15307,48020606
india,andaman-&-nicobar-islands,2021,Q3,north and middle andaman district,46592,118254865
india,andaman-&-nicobar-islands,2021,Q3,south andaman district,382418,1116789010
india,andaman-&-nicobar-islands,2021,Q3,nicobars district,20754,74980519
india,andaman-&-nicobar-islands,2021,Q4,north and middle andaman district,53115,156486112
india,andaman-&-nicobar-islands,2021,Q4,south andaman district,558571,1694794708
india,andaman-&-nicobar-islands,2021,Q4,nicobars district,24437,81329281
india,andaman-&-nicobar-islands,2022,Q1,north and middle andaman district,60059,161624878
india,andaman-&-nicobar-islands,2022,Q1,south andaman district,705512,1872991195
india,andaman-&-nicobar-islands,2022,Q1,nicobars district,29177,94414127
india,andaman-&-nicobar-islands,2022,Q2,north and middle andaman district,72573,195693167
india,andaman-&-nicobar-islands,2022,Q2,south andaman district,954875,2357326563
india,andaman-&-nicobar-islands,2022,Q2,nicobars district,43769,132900618
india,andaman-&-nicobar-islands,2022,Q3,north and middle andaman district,79574,211581970
india,andaman-&-nicobar-islands,2022,Q3,south andaman district,1455255,2967719400
india,andaman-&-nicobar-islands,2022,Q3,nicobars district,49550,131330400
india,andaman-&-nicobar-islands,2022,Q4,north and middle andaman district,93297,241431284
india,andaman-&-nicobar-islands,2022,Q4,south andaman district,1835592,3600887266
india,andaman-&-nicobar-islands,2022,Q4,nicobars district,58646,142355853
india,andhra-pradesh,2018,Q1,east godavari district,943935,1235785515
india,andhra-pradesh,2018,Q1,srikakulam district,458921,587778028
india,andhra-pradesh,2018,Q1,spsr nellore district,531612,676643237
india,andhra-pradesh,2018,Q1,vizianagaram district,420990,505783445
india,andhra-pradesh,2018,Q1,visakhapatnam district,1256469,1749966196
india,andhra-pradesh,2018,Q1,prakasam district,534757,748990775
india,andhra-pradesh,2018,Q1,anantapur district,638664,788830646
india,andhra-pradesh,2018,Q1,ysr district,487333,681481931
india,andhra-pradesh,2018,Q1,west godavari district,577090,853547668
india,andhra-pradesh,2018,Q1,kurnool district,679623,764905298
india,andhra-pradesh,2018,Q1,chittoor district,830324,1009621878
india,andhra-pradesh,2018,Q1,guntur district,815932,1108686589
india,andhra-pradesh,2018,Q1,krishna district,863935,1284255179
india,andhra-pradesh,2018,Q2,east godavari district,1221677,2168914928
india,andhra-pradesh,2018,Q2,srikakulam district,559868,929392017
india,andhra-pradesh,2018,Q2,spsr nellore district,780454,1542057934
india,andhra-pradesh,2018,Q2,vizianagaram district,529588,811711367
india,andhra-pradesh,2018,Q2,visakhapatnam district,1641192,2987853607
india,andhra-pradesh,2018,Q2,prakasam district,739991,1571167562
india,andhra-pradesh,2018,Q2,anantapur district,937023,1690366079
india,andhra-pradesh,2018,Q2,ysr district,690842,1415500367
india,andhra-pradesh,2018,Q2,west godavari district,786033,1688025212
india,andhra-pradesh,2018,Q2,kurnool district,968439,1531888665
india,andhra-pradesh,2018,Q2,chittoor district,1185723,1990419125
india,andhra-pradesh,2018,Q2,guntur district,1088101,2108475811
india,andhra-pradesh,2018,Q2,krishna district,1224987,2448141593
india,andhra-pradesh,2018,Q3,east godavari district,3226907,3551247095
india,andhra-pradesh,2018,Q3,srikakulam district,1073883,1318322236
india,andhra-pradesh,2018,Q3,spsr nellore district,1308890,2215938596
india,andhra-pradesh,2018,Q3,vizianagaram district,970132,1163546006
india,andhra-pradesh,2018,Q3,visakhapatnam district,3394576,4821892253
india,andhra-pradesh,2018,Q3,prakasam district,1319651,2346453445
india,andhra-pradesh,2018,Q3,anantapur district,1815215,2681787750
india,andhra-pradesh,2018,Q3,ysr district,1557444,2235904512
