country,state,year,quarter,transaction_type,transaction_count,total_amount
India,andaman-&-nicobar-islands,2018,Q1,Recharge & bill payments,4200,1845307
India,andaman-&-nicobar-islands,2018,Q1,Peer-to-peer payments,1871,12138655
India,andaman-&-nicobar-islands,2018,Q1,Merchant payments,298,452507
India,andaman-&-nicobar-islands,2018,Q1,Financial Services,33,10601
India,andaman-&-nicobar-islands,2018,Q1,Others,256,184689
India,andaman-&-nicobar-islands,2018,Q2,Recharge & bill payments,6735,2320944
India,andaman-&-nicobar-islands,2018,Q2,Peer-to-peer payments,3575,24511925
India,andaman-&-nicobar-islands,2018,Q2,Merchant payments,603,1024491
India,andaman-&-nicobar-islands,2018,Q2,Financial Services,59,121336
India,andaman-&-nicobar-islands,2018,Q2,Others,368,359838
India,andaman-&-nicobar-islands,2018,Q3,Recharge & bill payments,8636,4343504
India,andaman-&-nicobar-islands,2018,Q3,Peer-to-peer payments,6448,49270781
India,andaman-&-nicobar-islands,2018,Q3,Merchant payments,945,1627359
India,andaman-&-nicobar-islands,2018,Q3,Financial Services,42,1481
India,andaman-&-nicobar-islands,2018,Q3,Others,194,314343
India,andaman-&-nicobar-islands,2018,Q4,Recharge & bill payments,11517,5450549
India,andaman-&-nicobar-islands,2018,Q4,Peer-to-peer payments,10451,81001456
India,andaman-&-nicobar-islands,2018,Q4,Merchant payments,1421,3552027
India,andaman-&-nicobar-islands,2018,Q4,Financial Services,29,76035
India,andaman-&-nicobar-islands,2018,Q4,Others,340,468266
India,andaman-&-nicobar-islands,2019,Q1,Recharge & bill payments,15263,6611459
India,andaman-&-nicobar-islands,2019,Q1,Peer-to-peer payments,13119,91808345
India,andaman-&-nicobar-islands,2019,Q1,Merchant payments,1759,3266589
India,andaman-&-nicobar-islands,2019,Q1,Financial Services,62,116250
India,andaman-&-nicobar-islands,2019,Q1,Others,283,497094
India,andaman-&-nicobar-islands,2019,Q2,Recharge & bill payments,14676,7242448
India,andaman-&-nicobar-islands,2019,Q2,Peer-to-peer payments,14481,107525358
India,andaman-&-nicobar-islands,2019,Q2,Merchant payments,4031,4702152
India,andaman-&-nicobar-islands,2019,Q2,Financial Services,124,113278
India,andaman-&-nicobar-islands,2019,Q2,Others,377,671471
India,andaman-&-nicobar-islands,2019,Q3,Recharge & bill payments,16219,8171737
India,andaman-&-nicobar-islands,2019,Q3,Peer-to-peer payments,13767,101079821
India,andaman-&-nicobar-islands,2019,Q3,Merchant payments,3519,4428734
India,andaman-&-nicobar-islands,2019,Q3,Financial Services,50,158857
India,andaman-&-nicobar-islands,2019,Q3,Others,215,232624
India,andaman-&-nicobar-islands,2019,Q4,Peer-to-peer payments,18128,121493224
India,andaman-&-nicobar-islands,2019,Q4,Recharge & bill payments,13851,9538690
India,andaman-&-nicobar-islands,2019,Q4,Merchant payments,2920,5247500
India,andaman-&-nicobar-islands,2019,Q4,Financial Services,60,295937
India,andaman-&-nicobar-islands,2019,Q4,Others,200,263177
India,andaman-&-nicobar-islands,2020,Q1,Peer-to-peer payments,18324,142332401
India,andaman-&-nicobar-islands,2020,Q1,Recharge & bill payments,18268,10850414
India,andaman-&-nicobar-islands,2020,Q1,Merchant payments,4424,7752871
India,andaman-&-nicobar-islands,2020,Q1,Financial Services,66,208231
India,andaman-&-nicobar-islands,2020,Q1,Others,216,332393
India,andaman-&-nicobar-islands,2020,Q2,Recharge & bill payments,38125,17659622
India,andaman-&-nicobar-islands,2020,Q2,Peer-to-peer payments,20303,141728757
India,andaman-&-nicobar-islands,2020,Q2,Merchant payments,4004,9236375
India,andaman-&-nicobar-islands,2020,Q2,Financial Services,175,706932
India,andaman-&-nicobar-islands,2020,Q2,Others,355,313313
India,andaman-&-nicobar-islands,2020,Q3,Recharge & bill payments,59310,24756220
India,andaman-&-nicobar-islands,2020,Q3,Peer-to-peer payments,40697,289078946
India,andaman-&-nicobar-islands,2020,Q3,Merchant payments,16096,22682992
India,andaman-&-nicobar-islands,2020,Q3,Financial Services,572,961836
India,andaman-&-nicobar-islands,2020,Q3,Others,808,539449
India,andaman-&-nicobar-islands,2020,Q4,Peer-to-peer payments,81439,533316526
India,andaman-&-nicobar-islands,2020,Q4,Recharge & bill payments,80811,33710030
India,andaman-&-nicobar-islands,2020,Q4,Merchant payments,59391,56867468
India,andaman-&-nicobar-islands,2020,Q4,Financial Services,965,1880546
India,andaman-&-nicobar-islands,2020,Q4,Others,1925,1508083
India,andaman-&-nicobar-islands,2021,Q1,Peer-to-peer payments,105458,665391395
India,andaman-&-nicobar-islands,2021,Q1,Recharge & bill payments,84119,37160922
India,andaman-&-nicobar-islands,2021,Q1,Merchant payments,53090,78606979
India,andaman-&-nicobar-islands,2021,Q1,Financial Services,884,1469351
India,andaman-&-nicobar-islands,2021,Q1,Others,1201,1077918
India,andaman-&-nicobar-islands,2021,Q2,Peer-to-peer payments,132772,748382044
India,andaman-&-nicobar-islands,2021,Q2,Recharge & bill payments,120911,43691961
India,andaman-&-nicobar-islands,2021,Q2,Merchant payments,85143,103707408
India,andaman-&-nicobar-islands,2021,Q2,Financial Services,960,2038521
India,andaman-&-nicobar-islands,2021,Q2,Others,1628,1327080
India,andaman-&-nicobar-islands,2021,Q3,Peer-to-peer payments,192321,1077787837
India,andaman-&-nicobar-islands,2021,Q3,Recharge & bill payments,136010,51243450
India,andaman-&-nicobar-islands,2021,Q3,Merchant payments,118340,176991328
India,andaman-&-nicobar-islands,2021,Q3,Financial Services,990,2351013
India,andaman-&-nicobar-islands,2021,Q3,Others,2103,1650766
India,andaman-&-nicobar-islands,2021,Q4,Peer-to-peer payments,285778,1544932663
India,andaman-&-nicobar-islands,2021,Q4,Merchant payments,210164,322842314
