country,state,year,quarter,registered_users,apps_opened
india,andaman-&-nicobar-islands,2018,Q1,6740,0
india,andaman-&-nicobar-islands,2018,Q1,6740,0
india,andaman-&-nicobar-islands,2018,Q2,9405,0
india,andaman-&-nicobar-islands,2018,Q2,9405,0
india,andaman-&-nicobar-islands,2018,Q3,12149,0
india,andaman-&-nicobar-islands,2018,Q3,12149,0
india,andaman-&-nicobar-islands,2018,Q4,15222,0
india,andaman-&-nicobar-islands,2018,Q4,15222,0
india,andaman-&-nicobar-islands,2019,Q1,18596,0
india,andaman-&-nicobar-islands,2019,Q1,18596,0
india,andaman-&-nicobar-islands,2019,Q2,21731,52640
india,andaman-&-nicobar-islands,2019,Q2,21731,52640
india,andaman-&-nicobar-islands,2019,Q3,23931,171107
india,andaman-&-nicobar-islands,2019,Q3,23931,171107
india,andaman-&-nicobar-islands,2019,Q4,25960,177012
india,andaman-&-nicobar-islands,2019,Q4,25960,177012
india,andaman-&-nicobar-islands,2020,Q1,28368,193586
india,andaman-&-nicobar-islands,2020,Q1,28368,193586
india,andaman-&-nicobar-islands,2020,Q2,32710,305072
india,andaman-&-nicobar-islands,2020,Q2,32710,305072
india,andaman-&-nicobar-islands,2020,Q3,41335,515565
india,andaman-&-nicobar-islands,2020,Q3,41335,515565
india,andaman-&-nicobar-islands,2020,Q4,52396,887208
india,andaman-&-nicobar-islands,2020,Q4,52396,887208
india,andaman-&-nicobar-islands,2021,Q1,57758,1004336
india,andaman-&-nicobar-islands,2021,Q1,57758,1004336
india,andaman-&-nicobar-islands,2021,Q2,62095,2248223
india,andaman-&-nicobar-islands,2021,Q2,62095,2248223
india,andaman-&-nicobar-islands,2021,Q3,66982,3121625
india,andaman-&-nicobar-islands,2021,Q3,66982,3121625
india,andaman-&-nicobar-islands,2021,Q4,71780,2112910
india,andaman-&-nicobar-islands,2021,Q4,71780,2112910
india,andaman-&-nicobar-islands,2022,Q1,76288,3847407
india,andaman-&-nicobar-islands,2022,Q1,76288,3847407
india,andaman-&-nicobar-islands,2022,Q2,80530,5180013
india,andaman-&-nicobar-islands,2022,Q2,80530,5180013
india,andaman-&-nicobar-islands,2022,Q3,84642,6068354
india,andaman-&-nicobar-islands,2022,Q3,84642,6068354
india,andaman-&-nicobar-islands,2022,Q4,88442,4354093
india,andaman-&-nicobar-islands,2022,Q4,88442,4354093
india,andhra-pradesh,2018,Q1,3336450,0
india,andhra-pradesh,2018,Q1,3336450,0
india,andhra-pradesh,2018,Q2,4402540,0
india,andhra-pradesh,2018,Q2,4402540,0
india,andhra-pradesh,2018,Q3,5427617,0
india,andhra-pradesh,2018,Q3,5427617,0
india,andhra-pradesh,2018,Q4,6857409,0
india,andhra-pradesh,2018,Q4,6857409,0
india,andhra-pradesh,2019,Q1,8283019,0
india,andhra-pradesh,2019,Q1,8283019,0
india,andhra-pradesh,2019,Q2,9389003,81375251
india,andhra-pradesh,2019,Q2,9389003,81375251
india,andhra-pradesh,2019,Q3,10458693,310953542
india,andhra-pradesh,2019,Q3,10458693,310953542
india,andhra-pradesh,2019,Q4,11757883,411201518
india,andhra-pradesh,2019,Q4,11757883,411201518
india,andhra-pradesh,2020,Q1,13022060,486513773
india,andhra-pradesh,2020,Q1,13022060,486513773
india,andhra-pradesh,2020,Q2,14319675,494341698
india,andhra-pradesh,2020,Q2,14319675,494341698
india,andhra-pradesh,2020,Q3,15692405,696300382
india,andhra-pradesh,2020,Q3,15692405,696300382
india,andhra-pradesh,2020,Q4,17076565,869078538
india,andhra-pradesh,2020,Q4,17076565,869078538
india,andhra-pradesh,2021,Q1,18363733,957709447
india,andhra-pradesh,2021,Q1,18363733,957709447
india,andhra-pradesh,2021,Q2,19620905,1044705436
india,andhra-pradesh,2021,Q2,19620905,1044705436
india,andhra-pradesh,2021,Q3,21059898,1258536879
india,andhra-pradesh,2021,Q3,21059898,1258536879
india,andhra-pradesh,2021,Q4,22489029,1447717601
india,andhra-pradesh,2021,Q4,22489029,1447717601
india,andhra-pradesh,2022,Q1,23857951,1254785973
india,andhra-pradesh,2022,Q1,23857951,1254785973
india,andhra-pradesh,2022,Q2,25157264,1378736856
india,andhra-pradesh,2022,Q2,25157264,1378736856
india,andhra-pradesh,2022,Q3,26496330,1357005703
