country,state,year,quarter,states,registered_users,apps_opened
india,andaman-&-nicobar-islands,2018,Q1,north and middle andaman district,632,0
india,andaman-&-nicobar-islands,2018,Q1,south andaman district,5846,0
india,andaman-&-nicobar-islands,2018,Q1,nicobars district,262,0
india,andaman-&-nicobar-islands,2018,Q2,north and middle andaman district,911,0
india,andaman-&-nicobar-islands,2018,Q2,south andaman district,8143,0
india,andaman-&-nicobar-islands,2018,Q2,nicobars district,351,0
india,andaman-&-nicobar-islands,2018,Q3,north and middle andaman district,1208,0
india,andaman-&-nicobar-islands,2018,Q3,south andaman district,10474,0
india,andaman-&-nicobar-islands,2018,Q3,nicobars district,467,0
india,andaman-&-nicobar-islands,2018,Q4,north and middle andaman district,1553,0
india,andaman-&-nicobar-islands,2018,Q4,south andaman district,13133,0
india,andaman-&-nicobar-islands,2018,Q4,nicobars district,536,0
india,andaman-&-nicobar-islands,2019,Q1,north and middle andaman district,2013,0
india,andaman-&-nicobar-islands,2019,Q1,south andaman district,15961,0
india,andaman-&-nicobar-islands,2019,Q1,nicobars district,622,0
india,andaman-&-nicobar-islands,2019,Q2,north and middle andaman district,2417,6118
india,andaman-&-nicobar-islands,2019,Q2,south andaman district,18621,43569
india,andaman-&-nicobar-islands,2019,Q2,nicobars district,693,2953
india,andaman-&-nicobar-islands,2019,Q3,north and middle andaman district,2662,22064
india,andaman-&-nicobar-islands,2019,Q3,south andaman district,20518,138190
india,andaman-&-nicobar-islands,2019,Q3,nicobars district,751,10853
india,andaman-&-nicobar-islands,2019,Q4,north and middle andaman district,2955,26253
india,andaman-&-nicobar-islands,2019,Q4,south andaman district,22202,139646
india,andaman-&-nicobar-islands,2019,Q4,nicobars district,803,11113
india,andaman-&-nicobar-islands,2020,Q1,north and middle andaman district,3315,30444
india,andaman-&-nicobar-islands,2020,Q1,south andaman district,24174,151529
india,andaman-&-nicobar-islands,2020,Q1,nicobars district,879,11613
india,andaman-&-nicobar-islands,2020,Q2,north and middle andaman district,4100,56992
india,andaman-&-nicobar-islands,2020,Q2,south andaman district,27626,231071
india,andaman-&-nicobar-islands,2020,Q2,nicobars district,984,17009
india,andaman-&-nicobar-islands,2020,Q3,north and middle andaman district,5355,76553
india,andaman-&-nicobar-islands,2020,Q3,south andaman district,34833,417785
india,andaman-&-nicobar-islands,2020,Q3,nicobars district,1147,21227
india,andaman-&-nicobar-islands,2020,Q4,north and middle andaman district,7076,125915
india,andaman-&-nicobar-islands,2020,Q4,south andaman district,43908,725321
india,andaman-&-nicobar-islands,2020,Q4,nicobars district,1412,35972
india,andaman-&-nicobar-islands,2021,Q1,north and middle andaman district,7833,121680
india,andaman-&-nicobar-islands,2021,Q1,south andaman district,48352,837589
india,andaman-&-nicobar-islands,2021,Q1,nicobars district,1573,45067
india,andaman-&-nicobar-islands,2021,Q2,north and middle andaman district,8493,596182
india,andaman-&-nicobar-islands,2021,Q2,south andaman district,51903,1270226
india,andaman-&-nicobar-islands,2021,Q2,nicobars district,1699,381815
india,andaman-&-nicobar-islands,2021,Q3,north and middle andaman district,9263,759314
india,andaman-&-nicobar-islands,2021,Q3,south andaman district,55873,1771107
india,andaman-&-nicobar-islands,2021,Q3,nicobars district,1846,591204
india,andaman-&-nicobar-islands,2021,Q4,north and middle andaman district,10002,171921
india,andaman-&-nicobar-islands,2021,Q4,south andaman district,59807,1863037
india,andaman-&-nicobar-islands,2021,Q4,nicobars district,1971,77952
india,andaman-&-nicobar-islands,2022,Q1,north and middle andaman district,10720,904869
india,andaman-&-nicobar-islands,2022,Q1,south andaman district,63487,2368756
india,andaman-&-nicobar-islands,2022,Q1,nicobars district,2081,573782
india,andaman-&-nicobar-islands,2022,Q2,north and middle andaman district,11379,963824
india,andaman-&-nicobar-islands,2022,Q2,south andaman district,66959,3404740
india,andaman-&-nicobar-islands,2022,Q2,nicobars district,2192,811449
india,andaman-&-nicobar-islands,2022,Q3,north and middle andaman district,11897,1176567
india,andaman-&-nicobar-islands,2022,Q3,south andaman district,70445,3607286
india,andaman-&-nicobar-islands,2022,Q3,nicobars district,2300,1284501
india,andaman-&-nicobar-islands,2022,Q4,north and middle andaman district,12361,313502
india,andaman-&-nicobar-islands,2022,Q4,south andaman district,73692,3881359
india,andaman-&-nicobar-islands,2022,Q4,nicobars district,2389,159232
india,andhra-pradesh,2018,Q1,east godavari district,350356,0
india,andhra-pradesh,2018,Q1,srikakulam district,143839,0
india,andhra-pradesh,2018,Q1,visakhapatnam district,497187,0
india,andhra-pradesh,2018,Q1,prakasam district,189949,0
india,andhra-pradesh,2018,Q1,anantapur district,241192,0
india,andhra-pradesh,2018,Q1,kurnool district,240133,0
india,andhra-pradesh,2018,Q1,guntur district,317065,0
india,andhra-pradesh,2018,Q1,krishna district,323673,0
india,andhra-pradesh,2018,Q1,spsr nellore district,194475,0
india,andhra-pradesh,2018,Q1,vizianagaram district,128905,0
india,andhra-pradesh,2018,Q1,ysr district,186800,0
india,andhra-pradesh,2018,Q1,west godavari district,213335,0
india,andhra-pradesh,2018,Q1,chittoor district,309541,0
india,andhra-pradesh,2018,Q2,east godavari district,454398,0
india,andhra-pradesh,2018,Q2,srikakulam district,186913,0
india,andhra-pradesh,2018,Q2,visakhapatnam district,636052,0
india,andhra-pradesh,2018,Q2,prakasam district,253458,0
india,andhra-pradesh,2018,Q2,anantapur district,326383,0
india,andhra-pradesh,2018,Q2,kurnool district,319313,0
india,andhra-pradesh,2018,Q2,guntur district,420326,0
india,andhra-pradesh,2018,Q2,krishna district,431965,0
india,andhra-pradesh,2018,Q2,spsr nellore district,261049,0
india,andhra-pradesh,2018,Q2,vizianagaram district,167327,0
india,andhra-pradesh,2018,Q2,ysr district,248657,0
india,andhra-pradesh,2018,Q2,west godavari district,282393,0
india,andhra-pradesh,2018,Q2,chittoor district,414306,0
india,andhra-pradesh,2018,Q3,east godavari district,558982,0
india,andhra-pradesh,2018,Q3,srikakulam district,228456,0
india,andhra-pradesh,2018,Q3,visakhapatnam district,769096,0
india,andhra-pradesh,2018,Q3,prakasam district,314899,0
india,andhra-pradesh,2018,Q3,anantapur district,405855,0
india,andhra-pradesh,2018,Q3,kurnool district,394311,0
india,andhra-pradesh,2018,Q3,guntur district,518931,0
india,andhra-pradesh,2018,Q3,krishna district,537086,0
india,andhra-pradesh,2018,Q3,spsr nellore district,322446,0
india,andhra-pradesh,2018,Q3,vizianagaram district,203655,0
india,andhra-pradesh,2018,Q3,ysr district,308391,0
india,andhra-pradesh,2018,Q3,west godavari district,349782,0
india,andhra-pradesh,2018,Q3,chittoor district,515727,0
india,andhra-pradesh,2018,Q4,east godavari district,694455,0
india,andhra-pradesh,2018,Q4,srikakulam district,284874,0
india,andhra-pradesh,2018,Q4,visakhapatnam district,978288,0
india,andhra-pradesh,2018,Q4,prakasam district,394962,0
india,andhra-pradesh,2018,Q4,anantapur district,510892,0
india,andhra-pradesh,2018,Q4,kurnool district,498582,0
india,andhra-pradesh,2018,Q4,guntur district,659552,0
india,andhra-pradesh,2018,Q4,krishna district,682479,0
india,andhra-pradesh,2018,Q4,spsr nellore district,407495,0
india,andhra-pradesh,2018,Q4,vizianagaram district,257824,0
india,andhra-pradesh,2018,Q4,ysr district,387058,0
india,andhra-pradesh,2018,Q4,west godavari district,435668,0
india,andhra-pradesh,2018,Q4,chittoor district,665280,0
india,andhra-pradesh,2019,Q1,east godavari district,839277,0
india,andhra-pradesh,2019,Q1,srikakulam district,345775,0
india,andhra-pradesh,2019,Q1,visakhapatnam district,1174517,0
india,andhra-pradesh,2019,Q1,prakasam district,474260,0
india,andhra-pradesh,2019,Q1,anantapur district,612162,0
india,andhra-pradesh,2019,Q1,kurnool district,599422,0
india,andhra-pradesh,2019,Q1,guntur district,802394,0
india,andhra-pradesh,2019,Q1,krishna district,833694,0
india,andhra-pradesh,2019,Q1,spsr nellore district,491908,0
india,andhra-pradesh,2019,Q1,vizianagaram district,313334,0
india,andhra-pradesh,2019,Q1,ysr district,460590,0
india,andhra-pradesh,2019,Q1,west godavari district,523372,0
india,andhra-pradesh,2019,Q1,chittoor district,812314,0
india,andhra-pradesh,2019,Q2,east godavari district,945181,7156762
india,andhra-pradesh,2019,Q2,srikakulam district,392764,3230330
india,andhra-pradesh,2019,Q2,visakhapatnam district,1318740,13681907
