country,state,year,entity_type,quarter,district&pincode,transaction_count,total_amount
india,andaman-&-nicobar-islands,2018,district,Q1,south andaman,5688,12560249
india,andaman-&-nicobar-islands,2018,district,Q1,nicobars,528,1139848
india,andaman-&-nicobar-islands,2018,district,Q1,north and middle andaman,442,931663
india,andaman-&-nicobar-islands,2018,pincode,Q1,744101,1622,2769297
india,andaman-&-nicobar-islands,2018,pincode,Q1,744103,1223,2238041
india,andaman-&-nicobar-islands,2018,pincode,Q1,744102,969,3519059
india,andaman-&-nicobar-islands,2018,pincode,Q1,744105,685,1298560
india,andaman-&-nicobar-islands,2018,pincode,Q1,744104,340,1039715
india,andaman-&-nicobar-islands,2018,pincode,Q1,744107,302,556059
india,andaman-&-nicobar-islands,2018,pincode,Q1,744301,283,445739
india,andaman-&-nicobar-islands,2018,pincode,Q1,744112,269,333709
india,andaman-&-nicobar-islands,2018,pincode,Q1,744202,193,238914
india,andaman-&-nicobar-islands,2018,pincode,Q1,744302,168,547469
india,andaman-&-nicobar-islands,2018,district,Q2,south andaman,9395,23948235
india,andaman-&-nicobar-islands,2018,district,Q2,nicobars,1120,3072436
india,andaman-&-nicobar-islands,2018,district,Q2,north and middle andaman,825,1317863
india,andaman-&-nicobar-islands,2018,pincode,Q2,744101,2701,6310089
india,andaman-&-nicobar-islands,2018,pincode,Q2,744103,1965,4752146
india,andaman-&-nicobar-islands,2018,pincode,Q2,744102,1525,5810267
india,andaman-&-nicobar-islands,2018,pincode,Q2,744105,997,2200332
india,andaman-&-nicobar-islands,2018,pincode,Q2,744301,767,1953749
india,andaman-&-nicobar-islands,2018,pincode,Q2,744104,659,1650346
india,andaman-&-nicobar-islands,2018,pincode,Q2,744107,594,1601569
india,andaman-&-nicobar-islands,2018,pincode,Q2,744112,432,578829
india,andaman-&-nicobar-islands,2018,pincode,Q2,744202,405,626523
india,andaman-&-nicobar-islands,2018,pincode,Q2,744302,291,1026590
india,andaman-&-nicobar-islands,2018,district,Q3,south andaman,13511,44268112
india,andaman-&-nicobar-islands,2018,district,Q3,nicobars,1471,6387829
india,andaman-&-nicobar-islands,2018,district,Q3,north and middle andaman,1283,4901529
india,andaman-&-nicobar-islands,2018,pincode,Q3,744101,3462,10833893
india,andaman-&-nicobar-islands,2018,pincode,Q3,744103,3182,10184154
india,andaman-&-nicobar-islands,2018,pincode,Q3,744102,2224,10365275
india,andaman-&-nicobar-islands,2018,pincode,Q3,744105,1613,5152534
india,andaman-&-nicobar-islands,2018,pincode,Q3,744104,1029,2588077
india,andaman-&-nicobar-islands,2018,pincode,Q3,744301,975,4256576
india,andaman-&-nicobar-islands,2018,pincode,Q3,744112,579,1145815
india,andaman-&-nicobar-islands,2018,pincode,Q3,744107,547,1492405
india,andaman-&-nicobar-islands,2018,pincode,Q3,744302,417,1976781
india,andaman-&-nicobar-islands,2018,pincode,Q3,744202,341,2099404
india,andaman-&-nicobar-islands,2018,district,Q4,south andaman,20136,75411840
india,andaman-&-nicobar-islands,2018,district,Q4,north and middle andaman,2137,7955635
india,andaman-&-nicobar-islands,2018,district,Q4,nicobars,1485,7180859
india,andaman-&-nicobar-islands,2018,pincode,Q4,744101,4674,16392855
india,andaman-&-nicobar-islands,2018,pincode,Q4,744103,4576,17022520
india,andaman-&-nicobar-islands,2018,pincode,Q4,744102,3306,17019977
india,andaman-&-nicobar-islands,2018,pincode,Q4,744105,2513,9935282
india,andaman-&-nicobar-islands,2018,pincode,Q4,744104,1432,6091757
india,andaman-&-nicobar-islands,2018,pincode,Q4,744211,1225,3451359
india,andaman-&-nicobar-islands,2018,pincode,Q4,744301,928,4606293
india,andaman-&-nicobar-islands,2018,pincode,Q4,744112,759,2208675
india,andaman-&-nicobar-islands,2018,pincode,Q4,744107,747,1825659
india,andaman-&-nicobar-islands,2018,pincode,Q4,744202,702,3797054
india,andaman-&-nicobar-islands,2019,district,Q1,south andaman,25683,85501972
india,andaman-&-nicobar-islands,2019,district,Q1,north and middle andaman,3264,9561708
india,andaman-&-nicobar-islands,2019,district,Q1,nicobars,1539,7236059
india,andaman-&-nicobar-islands,2019,pincode,Q1,744103,5742,19401964
india,andaman-&-nicobar-islands,2019,pincode,Q1,744101,5156,15501306
india,andaman-&-nicobar-islands,2019,pincode,Q1,744102,3925,16683547
india,andaman-&-nicobar-islands,2019,pincode,Q1,744105,3553,11588669
india,andaman-&-nicobar-islands,2019,pincode,Q1,744104,2833,9141657
india,andaman-&-nicobar-islands,2019,pincode,Q1,744211,1511,5794838
india,andaman-&-nicobar-islands,2019,pincode,Q1,744202,1112,3613381
india,andaman-&-nicobar-islands,2019,pincode,Q1,744107,1029,3592930
india,andaman-&-nicobar-islands,2019,pincode,Q1,744301,920,4652963
india,andaman-&-nicobar-islands,2019,pincode,Q1,744112,802,1893718
india,andaman-&-nicobar-islands,2019,district,Q2,south andaman,28490,102530955
india,andaman-&-nicobar-islands,2019,district,Q2,north and middle andaman,3371,8612103
india,andaman-&-nicobar-islands,2019,district,Q2,nicobars,1828,9111650
india,andaman-&-nicobar-islands,2019,pincode,Q2,744104,6142,15625676
india,andaman-&-nicobar-islands,2019,pincode,Q2,744103,5847,23751450
india,andaman-&-nicobar-islands,2019,pincode,Q2,744101,4863,19061125
india,andaman-&-nicobar-islands,2019,pincode,Q2,744102,4120,18948733
india,andaman-&-nicobar-islands,2019,pincode,Q2,744105,3500,13418692
india,andaman-&-nicobar-islands,2019,pincode,Q2,744202,1153,3619993
india,andaman-&-nicobar-islands,2019,pincode,Q2,744107,1124,2967445
india,andaman-&-nicobar-islands,2019,pincode,Q2,744211,1047,3168331
india,andaman-&-nicobar-islands,2019,pincode,Q2,744301,1007,4849284
india,andaman-&-nicobar-islands,2019,pincode,Q2,744112,763,2928099
india,andaman-&-nicobar-islands,2019,district,Q3,south andaman,27421,91023888
india,andaman-&-nicobar-islands,2019,district,Q3,north and middle andaman,4049,11481466
india,andaman-&-nicobar-islands,2019,district,Q3,nicobars,2300,11566421
india,andaman-&-nicobar-islands,2019,pincode,Q3,744103,5680,19906337
india,andaman-&-nicobar-islands,2019,pincode,Q3,744101,5606,18745152
india,andaman-&-nicobar-islands,2019,pincode,Q3,744104,4786,15754793
india,andaman-&-nicobar-islands,2019,pincode,Q3,744102,3643,14572605
india,andaman-&-nicobar-islands,2019,pincode,Q3,744105,3512,11767223
india,andaman-&-nicobar-islands,2019,pincode,Q3,744202,1417,3875602
india,andaman-&-nicobar-islands,2019,pincode,Q3,744301,1402,6195496
india,andaman-&-nicobar-islands,2019,pincode,Q3,744211,1118,2983697
india,andaman-&-nicobar-islands,2019,pincode,Q3,744107,914,1988299
india,andaman-&-nicobar-islands,2019,pincode,Q3,744112,833,2198831
india,andaman-&-nicobar-islands,2019,district,Q4,south andaman,27843,110930312
india,andaman-&-nicobar-islands,2019,district,Q4,north and middle andaman,4716,13524056
india,andaman-&-nicobar-islands,2019,district,Q4,nicobars,2600,12384161
india,andaman-&-nicobar-islands,2019,pincode,Q4,744104,6633,20626642
india,andaman-&-nicobar-islands,2019,pincode,Q4,744101,5282,23247752
india,andaman-&-nicobar-islands,2019,pincode,Q4,744103,4840,19792507
