country,state,year,quarter,entity_type,district&pin,registered_users
india,andaman-&-nicobar-islands,2018,Q1,district,south andaman,5846
india,andaman-&-nicobar-islands,2018,Q1,district,north and middle andaman,632
india,andaman-&-nicobar-islands,2018,Q1,district,nicobars,262
india,andaman-&-nicobar-islands,2018,Q1,pincode,744103,1608
india,andaman-&-nicobar-islands,2018,Q1,pincode,744101,1108
india,andaman-&-nicobar-islands,2018,Q1,pincode,744105,1075
india,andaman-&-nicobar-islands,2018,Q1,pincode,744102,1006
india,andaman-&-nicobar-islands,2018,Q1,pincode,744104,272
india,andaman-&-nicobar-islands,2018,Q1,pincode,744202,237
india,andaman-&-nicobar-islands,2018,Q1,pincode,744112,215
india,andaman-&-nicobar-islands,2018,Q1,pincode,744301,207
india,andaman-&-nicobar-islands,2018,Q1,pincode,744107,196
india,andaman-&-nicobar-islands,2018,Q1,pincode,744211,156
india,andaman-&-nicobar-islands,2018,Q2,district,south andaman,8143
india,andaman-&-nicobar-islands,2018,Q2,district,north and middle andaman,911
india,andaman-&-nicobar-islands,2018,Q2,district,nicobars,351
india,andaman-&-nicobar-islands,2018,Q2,pincode,744103,2188
india,andaman-&-nicobar-islands,2018,Q2,pincode,744101,1521
india,andaman-&-nicobar-islands,2018,Q2,pincode,744105,1492
india,andaman-&-nicobar-islands,2018,Q2,pincode,744102,1419
india,andaman-&-nicobar-islands,2018,Q2,pincode,744104,396
india,andaman-&-nicobar-islands,2018,Q2,pincode,744202,343
india,andaman-&-nicobar-islands,2018,Q2,pincode,744112,299
india,andaman-&-nicobar-islands,2018,Q2,pincode,744107,293
india,andaman-&-nicobar-islands,2018,Q2,pincode,744301,273
india,andaman-&-nicobar-islands,2018,Q2,pincode,744211,240
india,andaman-&-nicobar-islands,2018,Q3,district,south andaman,10474
india,andaman-&-nicobar-islands,2018,Q3,district,north and middle andaman,1208
india,andaman-&-nicobar-islands,2018,Q3,district,nicobars,467
india,andaman-&-nicobar-islands,2018,Q3,pincode,744103,2741
india,andaman-&-nicobar-islands,2018,Q3,pincode,744101,1978
india,andaman-&-nicobar-islands,2018,Q3,pincode,744105,1935
india,andaman-&-nicobar-islands,2018,Q3,pincode,744102,1803
india,andaman-&-nicobar-islands,2018,Q3,pincode,744104,507
india,andaman-&-nicobar-islands,2018,Q3,pincode,744202,446
india,andaman-&-nicobar-islands,2018,Q3,pincode,744112,388
india,andaman-&-nicobar-islands,2018,Q3,pincode,744107,384
india,andaman-&-nicobar-islands,2018,Q3,pincode,744301,372
india,andaman-&-nicobar-islands,2018,Q3,pincode,744211,327
india,andaman-&-nicobar-islands,2018,Q4,district,south andaman,13133
india,andaman-&-nicobar-islands,2018,Q4,district,north and middle andaman,1553
india,andaman-&-nicobar-islands,2018,Q4,district,nicobars,536
india,andaman-&-nicobar-islands,2018,Q4,pincode,744103,3373
india,andaman-&-nicobar-islands,2018,Q4,pincode,744101,2498
india,andaman-&-nicobar-islands,2018,Q4,pincode,744105,2416
india,andaman-&-nicobar-islands,2018,Q4,pincode,744102,2231
india,andaman-&-nicobar-islands,2018,Q4,pincode,744104,634
india,andaman-&-nicobar-islands,2018,Q4,pincode,744202,554
india,andaman-&-nicobar-islands,2018,Q4,pincode,744107,548
india,andaman-&-nicobar-islands,2018,Q4,pincode,744112,496
india,andaman-&-nicobar-islands,2018,Q4,pincode,744211,433
india,andaman-&-nicobar-islands,2018,Q4,pincode,744301,425
india,andaman-&-nicobar-islands,2019,Q1,district,south andaman,15961
india,andaman-&-nicobar-islands,2019,Q1,district,north and middle andaman,2013
india,andaman-&-nicobar-islands,2019,Q1,district,nicobars,622
india,andaman-&-nicobar-islands,2019,Q1,pincode,744103,4136
india,andaman-&-nicobar-islands,2019,Q1,pincode,744101,3030
india,andaman-&-nicobar-islands,2019,Q1,pincode,744105,2994
india,andaman-&-nicobar-islands,2019,Q1,pincode,744102,2667
india,andaman-&-nicobar-islands,2019,Q1,pincode,744104,756
india,andaman-&-nicobar-islands,2019,Q1,pincode,744202,753
india,andaman-&-nicobar-islands,2019,Q1,pincode,744107,667
india,andaman-&-nicobar-islands,2019,Q1,pincode,744112,585
india,andaman-&-nicobar-islands,2019,Q1,pincode,744211,524
india,andaman-&-nicobar-islands,2019,Q1,pincode,744301,488
india,andaman-&-nicobar-islands,2019,Q2,district,south andaman,18621
india,andaman-&-nicobar-islands,2019,Q2,district,north and middle andaman,2417
india,andaman-&-nicobar-islands,2019,Q2,district,nicobars,693
india,andaman-&-nicobar-islands,2019,Q2,pincode,744103,4748
india,andaman-&-nicobar-islands,2019,Q2,pincode,744101,3631
india,andaman-&-nicobar-islands,2019,Q2,pincode,744105,3547
india,andaman-&-nicobar-islands,2019,Q2,pincode,744102,3008
india,andaman-&-nicobar-islands,2019,Q2,pincode,744202,885
india,andaman-&-nicobar-islands,2019,Q2,pincode,744104,878
india,andaman-&-nicobar-islands,2019,Q2,pincode,744107,787
india,andaman-&-nicobar-islands,2019,Q2,pincode,744112,672
india,andaman-&-nicobar-islands,2019,Q2,pincode,744211,633
india,andaman-&-nicobar-islands,2019,Q2,pincode,744301,534
india,andaman-&-nicobar-islands,2019,Q3,district,south andaman,20518
india,andaman-&-nicobar-islands,2019,Q3,district,north and middle andaman,2662
india,andaman-&-nicobar-islands,2019,Q3,district,nicobars,751
india,andaman-&-nicobar-islands,2019,Q3,pincode,744103,5218
india,andaman-&-nicobar-islands,2019,Q3,pincode,744101,4026
india,andaman-&-nicobar-islands,2019,Q3,pincode,744105,3920
india,andaman-&-nicobar-islands,2019,Q3,pincode,744102,3250
india,andaman-&-nicobar-islands,2019,Q3,pincode,744202,982
india,andaman-&-nicobar-islands,2019,Q3,pincode,744104,975
india,andaman-&-nicobar-islands,2019,Q3,pincode,744107,885
india,andaman-&-nicobar-islands,2019,Q3,pincode,744112,765
india,andaman-&-nicobar-islands,2019,Q3,pincode,744211,701
india,andaman-&-nicobar-islands,2019,Q3,pincode,744301,575
india,andaman-&-nicobar-islands,2019,Q4,district,south andaman,22202
india,andaman-&-nicobar-islands,2019,Q4,district,north and middle andaman,2955
india,andaman-&-nicobar-islands,2019,Q4,district,nicobars,803
india,andaman-&-nicobar-islands,2019,Q4,pincode,744103,5637
india,andaman-&-nicobar-islands,2019,Q4,pincode,744101,4321
india,andaman-&-nicobar-islands,2019,Q4,pincode,744105,4277
india,andaman-&-nicobar-islands,2019,Q4,pincode,744102,3485
india,andaman-&-nicobar-islands,2019,Q4,pincode,744202,1087
india,andaman-&-nicobar-islands,2019,Q4,pincode,744104,1062
india,andaman-&-nicobar-islands,2019,Q4,pincode,744107,953
india,andaman-&-nicobar-islands,2019,Q4,pincode,744112,812
india,andaman-&-nicobar-islands,2019,Q4,pincode,744211,783
india,andaman-&-nicobar-islands,2019,Q4,pincode,744301,611
india,andaman-&-nicobar-islands,2020,Q1,district,south andaman,24174
india,andaman-&-nicobar-islands,2020,Q1,district,north and middle andaman,3315
india,andaman-&-nicobar-islands,2020,Q1,district,nicobars,879
india,andaman-&-nicobar-islands,2020,Q1,pincode,744103,6108
india,andaman-&-nicobar-islands,2020,Q1,pincode,744101,4689
india,andaman-&-nicobar-islands,2020,Q1,pincode,744105,4684
india,andaman-&-nicobar-islands,2020,Q1,pincode,744102,3727
india,andaman-&-nicobar-islands,2020,Q1,pincode,744202,1216
india,andaman-&-nicobar-islands,2020,Q1,pincode,744104,1154
india,andaman-&-nicobar-islands,2020,Q1,pincode,744107,1062
india,andaman-&-nicobar-islands,2020,Q1,pincode,744112,889
india,andaman-&-nicobar-islands,2020,Q1,pincode,744211,886
india,andaman-&-nicobar-islands,2020,Q1,pincode,744301,669
india,andaman-&-nicobar-islands,2020,Q2,district,south andaman,27626
india,andaman-&-nicobar-islands,2020,Q2,district,north and middle andaman,4100
india,andaman-&-nicobar-islands,2020,Q2,district,nicobars,984
india,andaman-&-nicobar-islands,2020,Q2,pincode,744103,6804
india,andaman-&-nicobar-islands,2020,Q2,pincode,744105,5479
india,andaman-&-nicobar-islands,2020,Q2,pincode,744101,5365
india,andaman-&-nicobar-islands,2020,Q2,pincode,744102,4066
india,andaman-&-nicobar-islands,2020,Q2,pincode,744202,1475
india,andaman-&-nicobar-islands,2020,Q2,pincode,744104,1333
india,andaman-&-nicobar-islands,2020,Q2,pincode,744107,1252
india,andaman-&-nicobar-islands,2020,Q2,pincode,744112,1039
india,andaman-&-nicobar-islands,2020,Q2,pincode,744211,1036
india,andaman-&-nicobar-islands,2020,Q2,pincode,744205,806
india,andaman-&-nicobar-islands,2020,Q3,district,south andaman,34833
india,andaman-&-nicobar-islands,2020,Q3,district,north and middle andaman,5355
india,andaman-&-nicobar-islands,2020,Q3,district,nicobars,1147
india,andaman-&-nicobar-islands,2020,Q3,pincode,744103,8318
india,andaman-&-nicobar-islands,2020,Q3,pincode,744105,7007
india,andaman-&-nicobar-islands,2020,Q3,pincode,744101,6881
india,andaman-&-nicobar-islands,2020,Q3,pincode,744102,4919
india,andaman-&-nicobar-islands,2020,Q3,pincode,744202,1965
india,andaman-&-nicobar-islands,2020,Q3,pincode,744104,1718
india,andaman-&-nicobar-islands,2020,Q3,pincode,744107,1710
india,andaman-&-nicobar-islands,2020,Q3,pincode,744112,1372
india,andaman-&-nicobar-islands,2020,Q3,pincode,744211,1279
india,andaman-&-nicobar-islands,2020,Q3,pincode,744205,1008
india,andaman-&-nicobar-islands,2020,Q4,district,south andaman,43908
india,andaman-&-nicobar-islands,2020,Q4,district,north and middle andaman,7076
india,andaman-&-nicobar-islands,2020,Q4,district,nicobars,1412
india,andaman-&-nicobar-islands,2020,Q4,pincode,744103,10408
india,andaman-&-nicobar-islands,2020,Q4,pincode,744105,8962
india,andaman-&-nicobar-islands,2020,Q4,pincode,744101,8593
india,andaman-&-nicobar-islands,2020,Q4,pincode,744102,5882
india,andaman-&-nicobar-islands,2020,Q4,pincode,744202,2711
india,andaman-&-nicobar-islands,2020,Q4,pincode,744107,2346
india,andaman-&-nicobar-islands,2020,Q4,pincode,744104,2167
india,andaman-&-nicobar-islands,2020,Q4,pincode,744112,1761
india,andaman-&-nicobar-islands,2020,Q4,pincode,744211,1579
india,andaman-&-nicobar-islands,2020,Q4,pincode,744205,1346
india,andaman-&-nicobar-islands,2021,Q1,district,south andaman,48352
india,andaman-&-nicobar-islands,2021,Q1,district,north and middle andaman,7833
india,andaman-&-nicobar-islands,2021,Q1,district,nicobars,1573
india,andaman-&-nicobar-islands,2021,Q1,pincode,744103,11416
india,andaman-&-nicobar-islands,2021,Q1,pincode,744105,9934
india,andaman-&-nicobar-islands,2021,Q1,pincode,744101,9457
india,andaman-&-nicobar-islands,2021,Q1,pincode,744102,6395
india,andaman-&-nicobar-islands,2021,Q1,pincode,744202,3005
india,andaman-&-nicobar-islands,2021,Q1,pincode,744107,2586
india,andaman-&-nicobar-islands,2021,Q1,pincode,744104,2383
india,andaman-&-nicobar-islands,2021,Q1,pincode,744112,1940
india,andaman-&-nicobar-islands,2021,Q1,pincode,744211,1774
india,andaman-&-nicobar-islands,2021,Q1,pincode,744205,1505
india,andaman-&-nicobar-islands,2021,Q2,district,south andaman,51903
india,andaman-&-nicobar-islands,2021,Q2,district,north and middle andaman,8493
india,andaman-&-nicobar-islands,2021,Q2,district,nicobars,1699
india,andaman-&-nicobar-islands,2021,Q2,pincode,744103,12268
india,andaman-&-nicobar-islands,2021,Q2,pincode,744105,10668
india,andaman-&-nicobar-islands,2021,Q2,pincode,744101,10120
india,andaman-&-nicobar-islands,2021,Q2,pincode,744102,6837
india,andaman-&-nicobar-islands,2021,Q2,pincode,744202,3261
india,andaman-&-nicobar-islands,2021,Q2,pincode,744107,2783
india,andaman-&-nicobar-islands,2021,Q2,pincode,744104,2573
india,andaman-&-nicobar-islands,2021,Q2,pincode,744112,2083
india,andaman-&-nicobar-islands,2021,Q2,pincode,744211,1904
india,andaman-&-nicobar-islands,2021,Q2,pincode,744205,1626
india,andaman-&-nicobar-islands,2021,Q3,district,south andaman,55873
india,andaman-&-nicobar-islands,2021,Q3,district,north and middle andaman,9263
india,andaman-&-nicobar-islands,2021,Q3,district,nicobars,1846
india,andaman-&-nicobar-islands,2021,Q3,pincode,744103,13198
india,andaman-&-nicobar-islands,2021,Q3,pincode,744105,11480
india,andaman-&-nicobar-islands,2021,Q3,pincode,744101,10866
india,andaman-&-nicobar-islands,2021,Q3,pincode,744102,7313
india,andaman-&-nicobar-islands,2021,Q3,pincode,744202,3543
india,andaman-&-nicobar-islands,2021,Q3,pincode,744107,3027
india,andaman-&-nicobar-islands,2021,Q3,pincode,744104,2777
india,andaman-&-nicobar-islands,2021,Q3,pincode,744112,2250
india,andaman-&-nicobar-islands,2021,Q3,pincode,744211,2055
india,andaman-&-nicobar-islands,2021,Q3,pincode,744205,1771
india,andaman-&-nicobar-islands,2021,Q4,district,south andaman,59807
india,andaman-&-nicobar-islands,2021,Q4,district,north and middle andaman,10002
india,andaman-&-nicobar-islands,2021,Q4,district,nicobars,1971
india,andaman-&-nicobar-islands,2021,Q4,pincode,744103,14127
india,andaman-&-nicobar-islands,2021,Q4,pincode,744105,12300
india,andaman-&-nicobar-islands,2021,Q4,pincode,744101,11623
india,andaman-&-nicobar-islands,2021,Q4,pincode,744102,7813
india,andaman-&-nicobar-islands,2021,Q4,pincode,744202,3815
india,andaman-&-nicobar-islands,2021,Q4,pincode,744107,3247
india,andaman-&-nicobar-islands,2021,Q4,pincode,744104,2962
india,andaman-&-nicobar-islands,2021,Q4,pincode,744112,2411
india,andaman-&-nicobar-islands,2021,Q4,pincode,744211,2200
india,andaman-&-nicobar-islands,2021,Q4,pincode,744205,1902
india,andaman-&-nicobar-islands,2022,Q1,district,south andaman,63487
india,andaman-&-nicobar-islands,2022,Q1,district,north and middle andaman,10720
india,andaman-&-nicobar-islands,2022,Q1,district,nicobars,2081
india,andaman-&-nicobar-islands,2022,Q1,pincode,744103,15011
india,andaman-&-nicobar-islands,2022,Q1,pincode,744105,13070
india,andaman-&-nicobar-islands,2022,Q1,pincode,744101,12300
india,andaman-&-nicobar-islands,2022,Q1,pincode,744102,8271
india,andaman-&-nicobar-islands,2022,Q1,pincode,744202,4107
india,andaman-&-nicobar-islands,2022,Q1,pincode,744107,3455
india,andaman-&-nicobar-islands,2022,Q1,pincode,744104,3146
india,andaman-&-nicobar-islands,2022,Q1,pincode,744112,2552
india,andaman-&-nicobar-islands,2022,Q1,pincode,744211,2344
india,andaman-&-nicobar-islands,2022,Q1,pincode,744205,2034
india,andaman-&-nicobar-islands,2022,Q2,district,south andaman,66959
india,andaman-&-nicobar-islands,2022,Q2,district,north and middle andaman,11379
india,andaman-&-nicobar-islands,2022,Q2,district,nicobars,2192
india,andaman-&-nicobar-islands,2022,Q2,pincode,744103,15799
india,andaman-&-nicobar-islands,2022,Q2,pincode,744105,13791
india,andaman-&-nicobar-islands,2022,Q2,pincode,744101,12947
india,andaman-&-nicobar-islands,2022,Q2,pincode,744102,8709
india,andaman-&-nicobar-islands,2022,Q2,pincode,744202,4361
india,andaman-&-nicobar-islands,2022,Q2,pincode,744107,3674
india,andaman-&-nicobar-islands,2022,Q2,pincode,744104,3319
